Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;36920;36740;1915;180;5;10;0;0
2021;Eerste kwartaal;37420;36460;2060;195;5;10;0;0
2021;Tweede kwartaal;37780;36635;1745;160;5;5;0;0
2021;Derde kwartaal;38285;36720;1770;175;5;5;0;0
2021;Vierde kwartaal;38785;36805;1865;185;10;10;0;0
2022;Eerste kwartaal;39070;36615;2035;185;5;5;0;0
2022;Tweede kwartaal;38945;36580;1745;160;10;5;0;0
2022;Derde kwartaal;39275;36540;1790;170;5;5;0;0
2022;Vierde kwartaal;39540;36660;1875;185;10;10;0;0
2023;Eerste kwartaal;39470;36245;2035;175;10;5;0;0
2023;Tweede kwartaal;39775;36315;1715;160;10;5;0;0
2023;Derde kwartaal;41250;36380;1685;160;10;5;0;0
2023;Vierde kwartaal;41430;36360;1820;180;10;10;0;0
2024;Eerste kwartaal;41600;36115;2010;165;5;10;0;0
2024;Tweede kwartaal;41690;35940;1705;150;10;5;0;0
2024;Derde kwartaal;41975;35940;1695;160;5;10;0;0
2024;Vierde kwartaal;42065;35865;1785;180;5;10;0;0
2025;Eerste kwartaal*;42035;35500;1950;180;5;10;0;0
2025;Tweede kwartaal*;41205;35590;1635;165;5;10;0;0
2025;Derde kwartaal*;40915;35620;1675;175;5;10;0;0
2025;Vierde kwartaal*;40725;35530;1805;185;10;10;0;0
