Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;365;75;30;35;0;0;0;0
2021;Eerste kwartaal;375;70;30;35;0;0;0;0
2021;Tweede kwartaal;385;70;30;35;0;0;0;0
2021;Derde kwartaal;400;75;30;35;0;0;0;0
2021;Vierde kwartaal;415;75;35;35;0;0;0;0
2022;Eerste kwartaal;415;75;30;35;0;0;0;0
2022;Tweede kwartaal;425;75;35;30;0;0;0;0
2022;Derde kwartaal;430;65;40;35;0;0;0;0
2022;Vierde kwartaal;440;70;40;35;0;0;0;0
2023;Eerste kwartaal;450;65;40;35;0;0;0;0
2023;Tweede kwartaal;455;70;40;35;0;0;0;0
2023;Derde kwartaal;485;65;45;35;0;0;0;0
2023;Vierde kwartaal;505;60;45;35;0;0;0;0
2024;Eerste kwartaal;510;65;45;35;0;0;0;0
2024;Tweede kwartaal;505;70;40;35;0;0;0;0
2024;Derde kwartaal;520;75;40;35;0;0;0;0
2024;Vierde kwartaal;520;70;40;35;0;0;0;0
2025;Eerste kwartaal*;530;70;45;35;0;0;0;0
2025;Tweede kwartaal*;495;70;40;35;5;0;0;0
2025;Derde kwartaal*;500;65;35;35;5;0;0;0
2025;Vierde kwartaal*;505;65;40;35;5;0;0;0
