Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;46105;15840;5990;2030;265;120;40;15
2021;Eerste kwartaal;46560;15875;5980;2020;270;120;40;15
2021;Tweede kwartaal;47670;15990;6000;2035;265;125;40;15
2021;Derde kwartaal;49090;16260;6030;2005;275;125;35;20
2021;Vierde kwartaal;50455;16405;6090;2010;270;125;35;15
2022;Eerste kwartaal;51550;16575;6075;2030;270;125;35;15
2022;Tweede kwartaal;51630;16565;6105;2030;270;125;35;15
2022;Derde kwartaal;52530;16665;6105;2030;265;135;35;20
2022;Vierde kwartaal;53495;16735;6065;2045;280;130;35;15
2023;Eerste kwartaal;53795;16625;6050;2020;285;135;35;15
2023;Tweede kwartaal;54680;16615;5995;2020;290;135;35;15
2023;Derde kwartaal;59015;16795;6035;2035;285;130;35;15
2023;Vierde kwartaal;59690;16840;6045;2020;295;130;40;15
2024;Eerste kwartaal;60755;16895;5980;2005;300;130;40;15
2024;Tweede kwartaal;60760;16770;5955;2005;310;130;40;15
2024;Derde kwartaal;61675;16800;5930;2025;305;130;40;15
2024;Vierde kwartaal;61955;16795;5915;2015;305;130;45;15
2025;Eerste kwartaal*;61610;16740;5890;2020;300;130;45;10
2025;Tweede kwartaal*;60800;16530;5870;2005;295;130;45;15
2025;Derde kwartaal*;61420;16360;5830;2020;300;130;45;15
2025;Vierde kwartaal*;61990;16425;5810;2010;300;130;40;15
