Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;1325;280;45;25;5;5;5;5
2021;Eerste kwartaal;1450;285;50;25;5;5;5;5
2021;Tweede kwartaal;1595;295;45;30;5;5;5;5
2021;Derde kwartaal;1680;305;45;30;5;5;5;5
2021;Vierde kwartaal;1765;305;50;30;5;5;5;5
2022;Eerste kwartaal;1905;310;50;30;5;5;5;5
2022;Tweede kwartaal;1890;325;45;30;5;5;5;5
2022;Derde kwartaal;1925;325;50;30;5;5;0;5
2022;Vierde kwartaal;1995;330;55;30;5;5;0;5
2023;Eerste kwartaal;2015;330;50;35;5;5;0;5
2023;Tweede kwartaal;2150;350;55;35;5;5;0;5
2023;Derde kwartaal;2350;340;60;35;5;5;0;5
2023;Vierde kwartaal;2435;345;65;35;5;5;0;5
2024;Eerste kwartaal;2485;325;70;30;5;5;0;5
2024;Tweede kwartaal;2520;320;65;35;5;5;0;5
2024;Derde kwartaal;2560;300;70;35;10;5;5;5
2024;Vierde kwartaal;2535;305;70;35;10;5;5;5
2025;Eerste kwartaal*;2525;310;70;35;5;5;5;5
2025;Tweede kwartaal*;2470;315;70;35;5;5;0;5
2025;Derde kwartaal*;1760;275;75;35;5;5;0;5
2025;Vierde kwartaal*;1800;275;75;35;5;5;0;5
