Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;1200;355;190;90;15;5;5;0
2021;Eerste kwartaal;1215;355;185;95;15;5;5;0
2021;Tweede kwartaal;1220;360;190;90;15;5;5;0
2021;Derde kwartaal;1245;360;185;95;15;5;5;0
2021;Vierde kwartaal;1255;360;185;95;15;5;5;0
2022;Eerste kwartaal;1265;360;190;95;20;5;5;0
2022;Tweede kwartaal;1255;360;190;95;20;5;5;0
2022;Derde kwartaal;1275;370;190;90;20;5;5;0
2022;Vierde kwartaal;1275;370;190;90;20;5;5;0
2023;Eerste kwartaal;1255;360;195;90;20;5;5;0
2023;Tweede kwartaal;1295;360;190;90;20;5;5;0
2023;Derde kwartaal;1435;380;185;90;20;5;5;0
2023;Vierde kwartaal;1450;370;185;90;20;5;5;0
2024;Eerste kwartaal;1470;365;195;85;20;5;5;0
2024;Tweede kwartaal;1480;360;190;90;20;5;5;0
2024;Derde kwartaal;1490;355;190;90;20;5;5;0
2024;Vierde kwartaal;1490;360;190;90;20;5;5;0
2025;Eerste kwartaal*;1465;360;190;90;20;5;5;0
2025;Tweede kwartaal*;1390;365;185;90;20;5;5;0
2025;Derde kwartaal*;1380;365;190;85;20;5;5;0
2025;Vierde kwartaal*;1375;375;180;85;20;10;5;0
