Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;170420;26640;4510;765;75;25;15;10
2021;Eerste kwartaal;173210;26900;4525;775;70;25;15;10
2021;Tweede kwartaal;176465;27100;4555;770;65;30;15;5
2021;Derde kwartaal;181565;27460;4605;790;65;30;15;5
2021;Vierde kwartaal;186945;27980;4705;790;70;30;15;5
2022;Eerste kwartaal;191460;28230;4710;795;75;30;15;10
2022;Tweede kwartaal;193875;28310;4695;790;75;30;15;10
2022;Derde kwartaal;199105;28515;4695;785;75;30;15;10
2022;Vierde kwartaal;205040;28890;4745;795;75;30;15;10
2023;Eerste kwartaal;208295;28955;4650;775;75;30;15;10
2023;Tweede kwartaal;213110;29015;4655;775;80;30;15;10
2023;Derde kwartaal;222600;29455;4640;785;85;30;15;10
2023;Vierde kwartaal;228080;29795;4660;775;90;30;10;10
2024;Eerste kwartaal;231980;29885;4605;765;90;35;10;10
2024;Tweede kwartaal;233365;29645;4575;755;95;35;10;10
2024;Derde kwartaal;235440;29765;4595;755;95;35;10;10
2024;Vierde kwartaal;235160;30060;4565;775;90;35;15;10
2025;Eerste kwartaal*;236700;29960;4535;765;95;35;15;10
2025;Tweede kwartaal*;233745;29715;4485;755;95;30;15;10
2025;Derde kwartaal*;233665;30140;4530;775;95;35;15;10
2025;Vierde kwartaal*;234820;30475;4600;775;90;35;15;10
