Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;153385;78795;11760;2230;220;95;35;30
2021;Eerste kwartaal;156950;79915;11820;2240;215;100;35;30
2021;Tweede kwartaal;161700;80585;11970;2270;225;95;35;30
2021;Derde kwartaal;167970;81805;11890;2220;225;90;35;30
2021;Vierde kwartaal;173180;83190;12135;2245;230;95;40;30
2022;Eerste kwartaal;175345;83525;12265;2225;240;100;40;30
2022;Tweede kwartaal;173330;82950;12330;2260;235;105;40;30
2022;Derde kwartaal;174790;82420;12275;2275;235;105;40;30
2022;Vierde kwartaal;175945;82205;12335;2305;235;105;45;30
2023;Eerste kwartaal;175265;81405;12055;2265;225;105;45;35
2023;Tweede kwartaal;177655;81185;12120;2270;235;105;45;30
2023;Derde kwartaal;189155;81760;11995;2260;240;110;45;35
2023;Vierde kwartaal;191930;81940;12035;2260;245;110;40;35
2024;Eerste kwartaal;195435;82055;11885;2265;230;110;40;35
2024;Tweede kwartaal;195455;81235;11945;2275;235;110;40;35
2024;Derde kwartaal;198260;81230;11910;2265;240;105;40;35
2024;Vierde kwartaal;199405;81470;11930;2255;240;110;40;35
2025;Eerste kwartaal*;199150;81240;11795;2220;235;105;40;35
2025;Tweede kwartaal*;196590;80065;11900;2225;235;100;40;35
2025;Derde kwartaal*;198700;80165;11815;2230;230;100;45;35
2025;Vierde kwartaal*;201115;80135;11825;2250;235;105;45;35
