Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;34335;11910;2705;730;85;45;20;15
2021;Eerste kwartaal;35220;11915;2725;740;80;45;20;15
2021;Tweede kwartaal;36420;11985;2760;735;85;45;20;15
2021;Derde kwartaal;37830;12085;2750;740;85;45;20;15
2021;Vierde kwartaal;39005;12250;2800;745;85;40;20;15
2022;Eerste kwartaal;40135;12235;2815;755;85;40;25;15
2022;Tweede kwartaal;40965;12170;2820;755;85;45;25;15
2022;Derde kwartaal;42120;12165;2795;765;85;45;20;20
2022;Vierde kwartaal;43295;12280;2810;770;90;45;20;20
2023;Eerste kwartaal;44465;12110;2795;755;90;45;20;20
2023;Tweede kwartaal;45950;12085;2780;745;90;45;20;20
2023;Derde kwartaal;48425;12155;2770;735;85;45;20;20
2023;Vierde kwartaal;49540;12260;2750;735;90;45;20;20
2024;Eerste kwartaal;50940;12180;2705;735;90;45;20;20
2024;Tweede kwartaal;51560;11985;2685;725;85;50;15;20
2024;Derde kwartaal;52430;11975;2650;730;80;50;15;20
2024;Vierde kwartaal;52830;12050;2650;725;80;50;15;20
2025;Eerste kwartaal*;53530;11995;2595;735;80;45;20;20
2025;Tweede kwartaal*;53140;11850;2615;725;85;45;20;20
2025;Derde kwartaal*;53125;11900;2625;715;85;50;20;20
2025;Vierde kwartaal*;53475;11940;2655;715;85;50;20;20
