Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;29855;29350;4820;370;25;10;10;5
2021;Eerste kwartaal;29730;29690;5170;380;25;10;10;5
2021;Tweede kwartaal;30965;30705;3405;295;20;10;10;5
2021;Derde kwartaal;31660;30785;3215;270;20;10;10;5
2021;Vierde kwartaal;31395;30280;5070;350;25;10;10;0
2022;Eerste kwartaal;32210;30315;5615;400;25;10;10;5
2022;Tweede kwartaal;33395;30775;4475;355;25;10;10;5
2022;Derde kwartaal;33465;30205;5280;400;25;10;10;5
2022;Vierde kwartaal;34560;29975;6035;465;30;10;10;5
2023;Eerste kwartaal;36005;29735;5975;455;30;10;10;5
2023;Tweede kwartaal;37865;29730;5640;445;30;10;10;5
2023;Derde kwartaal;40490;29760;5710;430;35;10;10;5
2023;Vierde kwartaal;41365;29505;6430;465;40;15;10;5
2024;Eerste kwartaal;42785;29890;6120;455;40;15;10;5
2024;Tweede kwartaal;43540;29700;5810;455;35;10;10;5
2024;Derde kwartaal;43980;29815;5870;455;40;10;10;5
2024;Vierde kwartaal;44295;29640;6470;470;35;15;10;5
2025;Eerste kwartaal*;45050;29895;6185;450;35;15;10;5
2025;Tweede kwartaal*;44745;29615;5880;430;35;10;10;5
2025;Derde kwartaal*;44835;29830;5920;430;35;10;10;5
2025;Vierde kwartaal*;44795;29795;6485;480;35;15;10;5
