Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;84780;9710;945;195;35;25;15;10
2021;Eerste kwartaal;84940;9650;930;190;40;30;15;10
2021;Tweede kwartaal;88745;9895;925;195;40;25;15;10
2021;Derde kwartaal;92350;9980;945;195;35;30;15;10
2021;Vierde kwartaal;94290;10120;975;195;35;30;15;10
2022;Eerste kwartaal;95920;10450;985;210;40;30;10;10
2022;Tweede kwartaal;93490;10580;1005;205;40;30;10;10
2022;Derde kwartaal;95585;10605;990;220;45;30;10;10
2022;Vierde kwartaal;94245;10635;990;225;40;30;10;10
2023;Eerste kwartaal;89400;10030;970;225;45;30;10;10
2023;Tweede kwartaal;93340;10185;980;230;45;30;10;10
2023;Derde kwartaal;30620;6385;855;235;50;35;10;10
2023;Vierde kwartaal;31715;6180;850;240;50;30;10;10
2024;Eerste kwartaal;28695;6070;840;245;45;30;10;10
2024;Tweede kwartaal;32650;6000;815;245;50;30;10;10
2024;Derde kwartaal;31500;5535;795;250;50;30;10;10
2024;Vierde kwartaal;33300;5680;790;245;45;35;10;10
2025;Eerste kwartaal*;31880;5570;795;250;50;30;10;10
2025;Tweede kwartaal*;34720;5745;780;245;50;30;10;10
2025;Derde kwartaal*;29465;5430;775;240;50;30;10;10
2025;Vierde kwartaal*;29220;5390;775;240;50;35;10;10
