Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;20235;7505;575;160;20;10;0;0
2021;Eerste kwartaal;20435;7525;565;165;20;10;0;0
2021;Tweede kwartaal;21140;7650;545;170;20;10;0;0
2021;Derde kwartaal;21790;7775;545;170;20;10;0;0
2021;Vierde kwartaal;22295;7895;555;180;20;10;0;0
2022;Eerste kwartaal;22695;7995;565;175;20;10;0;0
2022;Tweede kwartaal;22420;8050;550;175;20;10;0;0
2022;Derde kwartaal;22755;8070;560;175;20;10;0;0
2022;Vierde kwartaal;22815;8100;575;175;20;10;0;0
2023;Eerste kwartaal;22385;8085;560;175;20;10;0;0
2023;Tweede kwartaal;22965;8075;570;175;20;5;0;0
2023;Derde kwartaal;27920;8375;555;185;20;10;0;0
2023;Vierde kwartaal;27850;8410;545;190;20;10;0;0
2024;Eerste kwartaal;28285;8360;540;185;20;10;0;0
2024;Tweede kwartaal;28870;8105;525;185;20;10;0;0
2024;Derde kwartaal;29420;8030;515;185;20;10;0;0
2024;Vierde kwartaal;29275;7990;525;180;20;10;0;0
2025;Eerste kwartaal*;29785;7995;520;175;20;10;0;0
2025;Tweede kwartaal*;29285;7915;520;180;20;10;0;0
2025;Derde kwartaal*;30290;8005;510;180;25;10;0;0
2025;Vierde kwartaal*;30600;8085;505;185;25;10;0;0
