Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;324365;40170;5610;865;95;50;20;10
2021;Eerste kwartaal;324680;40295;5575;850;90;50;20;10
2021;Tweede kwartaal;330600;40555;5620;865;95;50;20;10
2021;Derde kwartaal;338770;41070;5715;875;100;50;15;10
2021;Vierde kwartaal;346255;41430;5730;890;95;50;15;10
2022;Eerste kwartaal;352845;41625;5795;905;100;50;15;15
2022;Tweede kwartaal;352595;41370;5940;915;100;50;15;15
2022;Derde kwartaal;358320;41280;6015;960;100;50;15;15
2022;Vierde kwartaal;363170;41340;6015;975;100;55;15;15
2023;Eerste kwartaal;365150;40600;5955;940;95;60;15;15
2023;Tweede kwartaal;371815;40695;6005;985;95;60;15;15
2023;Derde kwartaal;408690;42320;6140;995;100;60;20;15
2023;Vierde kwartaal;412360;42465;6110;995;105;60;20;15
2024;Eerste kwartaal;420815;42520;6000;975;105;55;20;15
2024;Tweede kwartaal;421120;42140;5985;975;115;50;20;15
2024;Derde kwartaal;428420;42285;6035;975;120;50;20;15
2024;Vierde kwartaal;430160;42380;6030;970;120;50;25;15
2025;Eerste kwartaal*;446735;42940;5920;965;115;50;25;15
2025;Tweede kwartaal*;440805;42515;6015;965;115;50;25;15
2025;Derde kwartaal*;451105;43005;6060;980;120;50;25;15
2025;Vierde kwartaal*;454745;43255;6030;985;120;50;25;15
