Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;63100;15935;3705;1240;195;85;50;40
2021;Eerste kwartaal;64120;16070;3660;1260;185;95;50;40
2021;Tweede kwartaal;65740;16120;3655;1205;195;90;50;35
2021;Derde kwartaal;67820;16350;3635;1175;195;90;55;35
2021;Vierde kwartaal;69845;16685;3735;1220;200;105;50;40
2022;Eerste kwartaal;72345;16905;3835;1260;195;120;50;45
2022;Tweede kwartaal;73425;16890;3810;1255;200;110;50;40
2022;Derde kwartaal;75795;17025;3855;1265;205;110;45;40
2022;Vierde kwartaal;79060;17230;3925;1335;195;120;50;45
2023;Eerste kwartaal;82475;17255;3855;1320;200;120;50;45
2023;Tweede kwartaal;86780;17245;3870;1280;200;120;45;45
2023;Derde kwartaal;93665;17665;3900;1280;200;110;45;40
2023;Vierde kwartaal;97560;18020;3950;1305;200;115;55;45
2024;Eerste kwartaal;101720;18205;3915;1270;205;110;55;45
2024;Tweede kwartaal;103685;18270;3860;1240;195;105;50;40
2024;Derde kwartaal;106470;18395;3825;1230;190;105;50;40
2024;Vierde kwartaal;108900;18560;3870;1255;190;110;55;45
2025;Eerste kwartaal*;110895;18660;3795;1245;190;105;50;45
2025;Tweede kwartaal*;109195;18530;3735;1225;195;100;50;45
2025;Derde kwartaal*;109150;18725;3865;1250;200;95;50;45
2025;Vierde kwartaal*;109820;18995;3930;1255;210;110;50;45
