Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;215;55;65;245;125;70;25;25
2021;Eerste kwartaal;220;50;65;250;125;75;25;25
2021;Tweede kwartaal;220;50;60;245;125;75;25;25
2021;Derde kwartaal;220;55;60;240;130;70;25;25
2021;Vierde kwartaal;225;50;60;240;130;75;25;25
2022;Eerste kwartaal;230;45;65;245;135;75;25;25
2022;Tweede kwartaal;220;45;65;240;130;75;30;25
2022;Derde kwartaal;235;45;65;235;135;70;30;25
2022;Vierde kwartaal;240;45;65;235;135;75;25;25
2023;Eerste kwartaal;235;50;65;235;135;75;25;25
2023;Tweede kwartaal;270;50;60;230;130;75;30;25
2023;Derde kwartaal;295;55;55;230;130;80;30;25
2023;Vierde kwartaal;300;50;60;220;135;75;30;25
2024;Eerste kwartaal;305;45;55;230;130;75;35;25
2024;Tweede kwartaal;310;45;55;225;130;80;35;25
2024;Derde kwartaal;325;50;55;225;130;80;35;25
2024;Vierde kwartaal;340;45;55;220;130;85;35;25
2025;Eerste kwartaal*;340;45;55;225;125;90;35;25
2025;Tweede kwartaal*;340;45;50;225;125;90;35;25
2025;Derde kwartaal*;330;45;55;215;130;90;35;30
2025;Vierde kwartaal*;325;35;60;210;130;95;40;30
