Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;92330;8100;985;640;220;80;45;25
2021;Eerste kwartaal;94080;8205;1005;635;215;75;45;25
2021;Tweede kwartaal;96615;8215;1000;625;220;80;50;25
2021;Derde kwartaal;99015;8435;1010;615;220;80;50;25
2021;Vierde kwartaal;101725;8565;1025;620;215;85;45;25
2022;Eerste kwartaal;104945;8735;1055;630;215;85;45;30
2022;Tweede kwartaal;106405;8715;1045;610;225;85;45;35
2022;Derde kwartaal;108300;8750;1050;615;235;90;45;35
2022;Vierde kwartaal;110860;8770;1065;610;230;90;50;30
2023;Eerste kwartaal;112425;8680;1025;600;220;90;45;30
2023;Tweede kwartaal;114690;8675;1020;595;230;90;45;35
2023;Derde kwartaal;117440;8730;1030;590;230;95;45;35
2023;Vierde kwartaal;119840;8830;1030;580;230;95;45;35
2024;Eerste kwartaal;122270;8865;1040;580;225;90;45;35
2024;Tweede kwartaal;122680;8770;1020;565;235;95;50;35
2024;Derde kwartaal;124560;8875;1025;555;230;95;50;35
2024;Vierde kwartaal;126785;8915;1025;555;225;95;50;35
2025;Eerste kwartaal*;127430;8940;1005;560;220;90;50;35
2025;Tweede kwartaal*;127495;8840;990;550;225;90;50;35
2025;Derde kwartaal*;128805;8990;1000;545;225;100;50;35
2025;Vierde kwartaal*;130335;9070;1010;555;220;95;50;35
