Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;147505;23720;4110;825;195;170;140;90
2021;Eerste kwartaal;150170;23670;4270;850;190;180;140;90
2021;Tweede kwartaal;152965;23705;4310;860;195;170;140;95
2021;Derde kwartaal;157155;23890;4410;870;190;170;145;95
2021;Vierde kwartaal;161235;24080;4490;880;190;165;145;95
2022;Eerste kwartaal;165825;24190;4520;870;190;170;140;100
2022;Tweede kwartaal;169300;23975;4575;865;200;165;145;100
2022;Derde kwartaal;175025;23930;4640;870;200;170;150;100
2022;Vierde kwartaal;181145;23925;4650;880;205;170;150;95
2023;Eerste kwartaal;186490;23770;4610;875;195;180;150;95
2023;Tweede kwartaal;192535;23640;4710;880;200;175;150;95
2023;Derde kwartaal;198545;23680;4745;885;205;175;155;95
2023;Vierde kwartaal;203150;23690;4770;870;205;175;160;95
2024;Eerste kwartaal;207415;23815;4795;870;205;180;155;100
2024;Tweede kwartaal;209090;23710;4820;890;205;180;160;95
2024;Derde kwartaal;212150;23810;4865;890;210;180;165;100
2024;Vierde kwartaal;215180;23775;4890;890;205;175;165;100
2025;Eerste kwartaal*;217010;23975;4890;900;215;170;170;100
2025;Tweede kwartaal*;213440;23670;4990;900;215;175;170;100
2025;Derde kwartaal*;212190;23885;5065;910;215;180;165;100
2025;Vierde kwartaal*;207410;23740;5125;910;220;185;160;100
