Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;103305;11195;1185;220;10;5;5;0
2021;Eerste kwartaal;103500;11400;1245;225;15;5;5;0
2021;Tweede kwartaal;105445;11340;1130;210;15;10;5;0
2021;Derde kwartaal;106945;11295;1075;205;15;5;5;0
2021;Vierde kwartaal;108615;11470;1190;230;15;5;5;0
2022;Eerste kwartaal;108520;11435;1285;235;15;5;5;0
2022;Tweede kwartaal;110185;11350;1220;245;15;10;5;0
2022;Derde kwartaal;111280;11305;1290;255;15;10;5;0
2022;Vierde kwartaal;113550;11375;1370;270;15;5;5;0
2023;Eerste kwartaal;115290;11395;1375;270;20;5;5;0
2023;Tweede kwartaal;117575;11380;1360;270;20;10;5;0
2023;Derde kwartaal;119895;11455;1370;270;15;10;5;0
2023;Vierde kwartaal;121630;11590;1390;290;20;10;5;0
2024;Eerste kwartaal;123500;11705;1395;290;25;5;5;0
2024;Tweede kwartaal;123115;11540;1420;285;20;10;5;0
2024;Derde kwartaal;123795;11610;1380;290;25;10;5;0
2024;Vierde kwartaal;124505;11725;1395;305;20;10;5;0
2025;Eerste kwartaal*;125735;11785;1390;295;25;10;5;0
2025;Tweede kwartaal*;125530;11680;1370;295;20;10;5;0
2025;Derde kwartaal*;126330;11810;1365;300;20;10;5;0
2025;Vierde kwartaal*;127715;11880;1415;315;25;10;5;0
