Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;94915;14400;1215;215;15;10;5;0
2021;Eerste kwartaal;96050;14630;1185;215;15;10;5;0
2021;Tweede kwartaal;98380;14490;1185;215;15;10;5;0
2021;Derde kwartaal;99985;14485;1155;215;20;10;5;0
2021;Vierde kwartaal;102090;14605;1190;210;20;10;5;0
2022;Eerste kwartaal;103970;14525;1175;205;15;10;5;0
2022;Tweede kwartaal;102910;14445;1180;210;15;10;5;0
2022;Derde kwartaal;103860;14450;1185;215;15;5;5;0
2022;Vierde kwartaal;104880;14470;1200;215;15;10;5;0
2023;Eerste kwartaal;105400;14390;1170;205;15;5;5;0
2023;Tweede kwartaal;106620;14345;1210;205;15;5;5;0
2023;Derde kwartaal;108700;14365;1210;205;15;5;5;0
2023;Vierde kwartaal;109925;14425;1215;205;15;10;5;0
2024;Eerste kwartaal;111270;14455;1175;200;15;10;5;0
2024;Tweede kwartaal;111660;14420;1190;205;15;10;5;0
2024;Derde kwartaal;112625;14420;1185;210;15;5;5;0
2024;Vierde kwartaal;113355;14455;1200;215;15;5;5;0
2025;Eerste kwartaal*;114545;14570;1195;215;15;5;5;0
2025;Tweede kwartaal*;114095;14500;1200;210;10;10;5;0
2025;Derde kwartaal*;115255;14570;1195;215;10;10;5;0
2025;Vierde kwartaal*;119950;14675;1225;215;10;10;5;0
