Jaar;Kwartaal;1 werkzaam persoon;2 tot 10 werkzame personen;10 tot 50 werkzame personen;50 tot 250 werkzame personen;250 tot 500 werkzame personen;500 tot 1000 werkzame personen;1000 tot 2000 werkzame personen;2000 of meer werkzame personen
2020;Vierde kwartaal;20;65;30;5;0;0;0;0
2021;Eerste kwartaal;25;70;30;5;0;0;0;0
2021;Tweede kwartaal;25;70;30;5;0;0;0;0
2021;Derde kwartaal;20;70;30;5;0;0;0;0
2021;Vierde kwartaal;25;70;30;5;0;0;0;0
2022;Eerste kwartaal;25;75;30;5;0;0;0;0
2022;Tweede kwartaal;25;70;30;5;0;0;0;0
2022;Derde kwartaal;25;70;30;5;0;0;0;0
2022;Vierde kwartaal;25;75;30;5;0;0;0;0
2023;Eerste kwartaal;25;75;25;5;0;0;0;0
2023;Tweede kwartaal;25;80;25;5;0;0;0;0
2023;Derde kwartaal;25;70;30;5;0;0;0;0
2023;Vierde kwartaal;30;65;35;5;0;0;0;0
2024;Eerste kwartaal;25;65;30;5;0;0;0;0
2024;Tweede kwartaal;30;70;30;5;0;0;0;0
2024;Derde kwartaal;30;65;35;5;0;0;0;0
2024;Vierde kwartaal;25;65;35;5;0;0;0;0
2025;Eerste kwartaal*;30;70;30;5;0;0;0;0
2025;Tweede kwartaal*;30;70;30;5;0;0;0;0
2025;Derde kwartaal*;25;75;30;5;0;0;0;0
2025;Vierde kwartaal*;25;75;30;5;0;0;0;0
